W,L,W/L%,GB,PS/G,PA/G,SRS,Year
73,9,.890,—,114.9,104.1,10.38,2016
67,15,.817,6.0,103.5,92.9,10.28,2016
55,27,.671,18.0,110.2,102.9,7.09,2016
53,29,.646,20.0,104.5,100.2,4.13,2016
44,38,.537,29.0,105.1,104.3,0.98,2016
42,40,.512,31.0,102.3,102.6,-0.02,2016
42,40,.512,31.0,99.1,101.3,-2.14,2016
41,41,.500,32.0,106.5,106.4,0.34,2016
40,42,.488,33.0,97.7,95.9,1.84,2016
33,49,.402,40.0,106.6,109.1,-2.32,2016
33,49,.402,40.0,101.9,105.0,-2.81,2016
30,52,.366,43.0,102.7,106.5,-3.56,2016
29,53,.354,44.0,102.4,106.0,-3.38,2016
23,59,.280,50.0,100.9,107.5,-6.32,2016
17,65,.207,56.0,97.3,106.9,-8.92,2016
67,15,.817,—,115.9,104.3,11.35,2017
61,21,.744,6.0,105.3,98.1,7.13,2017
55,27,.671,12.0,115.3,109.6,5.84,2017
51,31,.622,16.0,108.7,104.4,4.42,2017
51,31,.622,16.0,100.7,96.8,4.00,2017
47,35,.573,20.0,106.6,105.8,1.14,2017
43,39,.524,24.0,100.5,100.0,0.96,2017
41,41,.500,26.0,107.9,108.5,-0.23,2017
40,42,.488,27.0,111.7,111.2,0.70,2017
34,48,.415,33.0,104.3,106.4,-1.69,2017
33,49,.402,34.0,97.9,100.8,-2.53,2017
32,50,.390,35.0,102.8,106.7,-3.29,2017
31,51,.378,36.0,105.6,106.7,-0.64,2017
26,56,.317,41.0,104.6,111.5,-6.29,2017
24,58,.293,43.0,107.7,113.3,-5.14,2017
65,17,.793,—,112.4,103.9,8.21,2018
58,24,.707,7.0,113.5,107.5,5.79,2018
49,33,.598,16.0,105.6,103.0,2.60,2018
48,34,.585,17.0,107.9,104.4,3.42,2018
48,34,.585,17.0,104.1,99.8,4.47,2018
48,34,.585,17.0,111.7,110.4,1.48,2018
47,35,.573,18.0,102.7,99.8,2.89,2018
47,35,.573,18.0,109.5,107.3,2.35,2018
46,36,.561,19.0,110.0,108.5,1.57,2018
42,40,.512,23.0,109.0,109.0,0.15,2018
35,47,.427,30.0,108.1,109.6,-1.44,2018
27,55,.329,38.0,98.8,105.8,-6.60,2018
24,58,.293,41.0,102.3,105.4,-2.70,2018
22,60,.268,43.0,99.3,105.5,-5.81,2018
21,61,.256,44.0,103.9,113.3,-8.80,2018
57,25,.695,—,117.7,111.2,6.42,2019
54,28,.659,3.0,110.7,106.7,4.19,2019
53,29,.646,4.0,113.9,109.1,4.96,2019
53,29,.646,4.0,114.7,110.5,4.43,2019
50,32,.610,7.0,111.7,106.5,5.28,2019
49,33,.598,8.0,114.5,111.1,3.56,2019
48,34,.585,9.0,111.7,110.0,1.80,2019
48,34,.585,9.0,115.1,114.3,1.09,2019
39,43,.476,18.0,114.2,115.3,-0.81,2019
37,45,.451,20.0,111.8,113.5,-1.33,2019
36,46,.439,21.0,112.5,114.0,-1.02,2019
33,49,.402,24.0,103.5,106.1,-2.08,2019
33,49,.402,24.0,115.4,116.8,-1.10,2019
33,49,.402,24.0,108.9,110.1,-0.87,2019
19,63,.232,38.0,107.5,116.8,-8.61,2019
52,19,.732,—,113.4,107.6,6.28,2020
49,23,.681,3.5,116.3,109.9,6.66,2020
46,27,.630,7.0,111.3,109.2,2.35,2020
44,28,.611,8.5,117.8,114.8,3.13,2020
44,28,.611,8.5,110.4,108.4,2.33,2020
44,28,.611,8.5,111.3,108.8,2.52,2020
43,32,.573,11.0,117.0,112.1,4.87,2020
35,39,.473,18.5,115.0,116.1,-0.61,2020
34,39,.466,19.0,112.6,113.7,-0.91,2020
34,39,.466,19.0,113.6,113.4,0.56,2020
32,39,.451,20.0,114.1,115.2,-0.65,2020
31,41,.431,21.5,110.1,112.1,-1.59,2020
30,42,.417,22.5,115.8,117.1,-0.55,2020
19,45,.297,29.5,113.3,117.5,-4.02,2020
15,50,.231,34.0,106.3,115.0,-8.12,2020
52,20,.722,—,116.4,107.2,8.97,2021
51,21,.708,1.0,115.3,109.5,5.67,2021
47,25,.653,5.0,115.1,110.1,4.82,2021
47,25,.653,5.0,114.0,107.8,6.02,2021
42,30,.583,10.0,112.4,110.2,2.26,2021
42,30,.583,10.0,116.1,114.3,1.81,2021
42,30,.583,10.0,109.5,106.8,2.77,2021
39,33,.542,13.0,113.7,112.7,1.10,2021
38,34,.528,14.0,113.3,112.3,1.07,2021
33,39,.458,19.0,111.1,112.8,-1.58,2021
31,41,.431,21.0,114.6,114.9,-0.20,2021
31,41,.431,21.0,113.7,117.4,-3.45,2021
23,49,.319,29.0,112.1,117.7,-5.25,2021
22,50,.306,30.0,105.0,115.6,-10.13,2021
17,55,.236,35.0,108.8,116.7,-7.50,2021
64,18,.780,—,114.8,107.3,6.94,2022
