Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Boston Celtics*,82,242.7,38.3,88.1,.434,11.8,34.9,.339,26.4,53.2,.497,16.1,20.6,.783,10.5,33.3,43.7,21.6,7.5,4.6,13.8,19.4,104.5,2022
Dallas Mavericks*,82,240.9,39.0,85.4,.457,10.9,32.1,.340,28.1,53.2,.527,15.8,20.6,.767,9.5,34.1,43.6,23.5,7.0,3.7,13.1,20.1,104.7,2022
Golden State Warriors*,82,240.6,37.9,86.6,.438,12.2,36.0,.339,25.7,50.6,.509,17.4,22.9,.759,9.7,33.0,42.6,22.9,7.9,3.9,14.5,18.0,105.5,2022
Miami Heat*,82,242.1,37.5,84.0,.447,13.0,38.3,.339,24.6,45.7,.537,17.5,22.5,.779,9.5,32.1,41.7,23.3,7.4,4.0,15.0,20.6,105.6,2022
Cleveland Cavaliers,82,240.6,39.5,87.2,.452,11.7,33.2,.353,27.8,54.0,.514,15.0,19.4,.774,10.5,32.4,42.9,24.1,8.4,4.6,13.4,20.0,105.7,2022
New York Knicks,82,241.2,38.5,86.0,.447,12.7,37.0,.342,25.8,49.0,.527,17.0,22.3,.764,9.3,34.3,43.6,24.2,7.0,4.6,12.7,20.4,106.6,2022
Toronto Raptors*,82,242.1,39.0,84.4,.462,12.4,34.9,.354,26.6,49.5,.538,16.8,21.2,.789,10.3,33.7,44.0,25.3,6.7,5.1,15.8,19.1,107.1,2022
Phoenix Suns*,82,240.6,39.2,88.3,.444,11.6,34.2,.340,27.6,54.1,.510,17.3,22.7,.761,10.5,33.9,44.5,22.9,7.5,4.0,14.7,18.9,107.3,2022
Philadelphia 76ers*,82,241.5,39.7,86.5,.458,11.4,32.8,.346,28.3,53.7,.527,16.6,21.6,.769,10.2,34.0,44.2,23.6,6.6,4.6,13.3,19.4,107.3,2022
Utah Jazz*,82,240.6,40.4,89.2,.453,12.1,34.6,.350,28.3,54.6,.518,14.6,19.3,.758,9.9,31.7,41.6,23.4,7.8,4.3,12.0,20.3,107.6,2022
Los Angeles Clippers,82,241.2,40.8,90.6,.450,11.7,33.9,.345,29.1,56.7,.513,15.2,19.6,.775,12.0,35.1,47.1,24.1,7.7,4.1,13.6,18.5,108.4,2022
Memphis Grizzlies*,82,241.2,40.3,88.6,.455,12.0,34.5,.349,28.3,54.2,.522,17.3,22.4,.771,10.0,33.0,43.0,25.0,7.2,6.0,15.1,19.8,109.9,2022
New Orleans Pelicans*,82,240.9,40.3,85.5,.471,13.0,35.5,.365,27.3,50.0,.546,16.8,21.4,.786,9.3,32.5,41.8,24.9,7.4,4.8,14.2,20.5,110.3,2022
Denver Nuggets*,82,241.5,41.1,87.4,.470,11.8,34.2,.346,29.2,53.2,.549,16.5,21.7,.757,9.7,32.7,42.4,25.4,7.9,4.8,12.8,19.9,110.4,2022
Oklahoma City Thunder,82,241.5,41.4,90.5,.458,13.6,38.7,.353,27.8,51.8,.536,15.3,19.9,.771,11.0,37.3,48.4,26.1,8.5,6.0,13.2,17.8,111.8,2022
Washington Wizards,82,241.8,41.3,88.9,.464,11.5,31.8,.361,29.8,57.1,.522,18.0,22.3,.807,10.2,34.0,44.2,23.7,7.3,4.2,11.9,19.9,112.0,2022
Chicago Bulls*,82,240.6,41.4,87.4,.474,11.7,32.0,.366,29.7,55.5,.536,17.4,21.9,.795,9.3,33.9,43.2,25.0,7.1,5.0,13.1,18.2,112.0,2022
Milwaukee Bucks*,82,240.9,41.4,90.6,.456,14.5,40.6,.356,26.9,50.0,.537,15.0,19.9,.751,9.9,34.2,44.1,25.9,7.4,4.4,13.0,19.7,112.1,2022
Brooklyn Nets*,82,240.9,40.7,90.2,.452,12.5,36.3,.345,28.2,53.9,.523,18.1,23.0,.788,11.3,32.8,44.1,23.8,7.9,4.9,13.3,19.7,112.1,2022
Orlando Magic,82,241.2,40.8,89.0,.458,13.2,36.3,.363,27.6,52.7,.524,17.4,22.6,.772,10.4,36.8,47.1,24.8,8.0,5.2,13.2,18.3,112.2,2022
Atlanta Hawks*,82,240.3,41.9,89.0,.471,12.8,35.2,.364,29.1,53.7,.541,15.8,19.9,.792,10.2,33.6,43.9,25.4,7.0,4.5,12.8,20.3,112.4,2022
Detroit Pistons,82,241.2,40.6,86.0,.473,11.8,32.5,.362,28.9,53.5,.540,19.5,25.1,.777,10.3,35.9,46.3,25.1,7.4,5.2,14.6,19.8,112.5,2022
