Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%,Year
Atlanta Hawks*,82,19855,.486,13.2,,.629,.295,.171,.097,.059,.371,,.562,.689,.445,.458,.446,.356,,.496,.826,,.070,472,,.282,1190,,.243,.381,2023
Boston Celtics*,82,19980,.463,14.4,,.626,.195,.229,.109,.085,.374,,.534,.693,.468,.440,.467,.345,,.461,.763,,.050,339,,.264,1078,,.183,.361,2023
Brooklyn Nets*,82,19730,.463,13.3,,.636,.267,.212,.093,.064,.364,,.518,.679,.406,.403,.385,.367,,.478,.798,,.056,377,,.288,1126,,.249,.406,2023
Chicago Bulls*,82,19905,.468,14.4,,.574,.273,.162,.080,.059,.426,,.550,.685,.434,.437,.391,.357,,.534,.855,,.060,394,,.262,1086,,.255,.346,2023
Charlotte Hornets,82,19830,.477,13.6,,.620,.280,.188,.088,.063,.380,,.550,.677,.432,.471,.446,.357,,.502,.859,,.065,408,,.284,1154,,.253,.405,2023
Cleveland Cavaliers*,82,19880,.468,13.6,,.634,.271,.183,.109,.064,.366,,.525,.661,.420,.424,.422,.368,,.488,.814,,.058,346,,.263,1013,,.261,.409,2023
Dallas Mavericks,82,19930,.485,13.5,,.633,.250,.206,.109,.067,.367,,.562,.717,.460,.468,.451,.352,,.503,.854,,.054,347,,.267,1134,,.260,.379,2023
Denver Nuggets*,82,19755,.478,13.7,,.622,.229,.236,.088,.060,.378,,.559,.747,.459,.443,.402,.344,,.519,.840,,.057,384,,.281,1216,,.253,.358,2023
Detroit Pistons,82,19805,.489,13.6,,.622,.242,.231,.083,.059,.378,,.568,.724,.491,.420,.440,.360,,.517,.778,,.067,435,,.277,1189,,.254,.384,2023
Golden State Warriors*,82,19830,.469,14.5,,.607,.163,.280,.094,.069,.393,,.536,.703,.504,.431,.415,.364,,.506,.837,,.053,357,,.262,1089,,.234,.372,2023
Houston Rockets,82,19755,.482,14.9,,.560,.217,.204,.082,.056,.440,,.567,.741,.480,.435,.399,.374,,.511,.817,,.070,435,,.255,1114,,.216,.377,2023
Indiana Pacers,82,19755,.485,13.3,,.627,.281,.195,.092,.052,.373,,.551,.668,.473,.439,.395,.373,,.511,.816,,.072,455,,.291,1185,,.268,.400,2023
Los Angeles Clippers*,82,19830,.474,13.9,,.622,.226,.230,.104,.062,.378,,.539,.716,.441,.463,.388,.365,,.509,.811,,.058,372,,.262,1085,,.222,.381,2023
