Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Cleveland Cavaliers*,82,19930,2803,6083,.461,396,1108,.357,2407,4975,.484,1364,1801,.757,851,2246,3097,1812,556,433,1213,1770,7366,1996
New York Knicks*,82,19780,2800,6410,.437,397,1165,.341,2403,5245,.458,1802,2449,.736,1021,2317,3338,1584,639,324,1264,1907,7799,1996
Atlanta Hawks*,82,19855,3001,6485,.463,420,1212,.347,2581,5273,.489,1394,1919,.726,1051,2391,3442,1733,608,320,1359,1815,7816,1996
Indiana Pacers*,82,19780,2921,6408,.456,475,1304,.364,2446,5104,.479,1516,2089,.726,1048,2156,3204,1804,691,416,1370,2058,7833,1996
Chicago Bulls*,82,19830,2923,6399,.457,401,1150,.349,2522,5249,.480,1682,2280,.738,1068,2252,3320,1713,687,369,1485,1892,7929,1996
Charlotte Hornets*,82,19805,3088,6807,.454,429,1289,.333,2659,5518,.482,1375,1859,.740,1102,2365,3467,1898,535,368,1216,1859,7980,1996
Utah Jazz*,82,19780,2845,6282,.453,546,1431,.382,2299,4851,.474,1835,2477,.741,917,2125,3042,1713,648,429,1353,2053,8071,1996
Sacramento Kings,82,19855,2964,6549,.453,377,1240,.304,2587,5309,.487,1833,2473,.741,1145,2268,3413,1820,756,515,1348,2033,8138,1996
Portland Trail Blazers*,82,19705,2951,6465,.456,442,1189,.372,2509,5276,.476,1794,2380,.754,883,2295,3178,1789,638,405,1302,1938,8138,1996
Philadelphia 76ers,82,19805,3100,6663,.465,467,1287,.363,2633,5376,.490,1569,2057,.763,1143,2317,3460,1992,712,422,1299,1859,8236,1996
Denver Nuggets*,82,19980,3050,6695,.456,419,1208,.347,2631,5487,.479,1721,2296,.750,1021,2207,3228,1784,640,460,1167,1956,8240,1996
San Antonio Spurs*,82,19855,3168,6974,.454,426,1251,.341,2742,5723,.479,1491,2089,.714,1017,2303,3320,1878,633,408,1182,2063,8253,1996
New Jersey Nets,82,19880,3182,6904,.461,440,1176,.374,2742,5728,.479,1495,2073,.721,1056,2435,3491,1826,733,440,1104,1911,8299,1996
Houston Rockets*,82,19730,3202,7061,.453,506,1345,.376,2696,5716,.472,1407,1874,.751,1165,2386,3551,1940,744,365,1274,1779,8317,1996
Seattle SuperSonics*,82,19830,3008,6637,.453,520,1514,.343,2488,5123,.486,1848,2514,.735,1064,2207,3271,1849,652,493,1485,2024,8384,1996
Miami Heat,82,19805,3092,6566,.471,511,1417,.361,2581,5149,.501,1732,2340,.740,1036,2355,3391,1860,656,385,1332,1896,8427,1996
Minnesota Timberwolves,82,19780,3088,6509,.474,468,1243,.377,2620,5266,.498,1820,2491,.731,1169,2305,3474,2069,703,512,1323,1982,8464,1996
Milwaukee Bucks,82,19855,3248,6589,.493,491,1242,.395,2757,5347,.516,1517,2081,.729,1014,2337,3351,2103,770,407,1359,1973,8504,1996
Orlando Magic*,82,19930,3242,7093,.457,468,1239,.378,2774,5854,.474,1560,2106,.741,1136,2226,3362,1986,700,367,1234,1954,8512,1996
Boston Celtics*,82,19805,3303,6820,.484,375,1047,.358,2928,5773,.507,1601,2225,.720,1064,2335,3399,1999,653,454,1232,1922,8582,1996
Los Angeles Lakers*,82,19905,3299,7050,.468,456,1294,.352,2843,5756,.494,1580,2233,.708,1283,2474,3757,2203,644,489,1390,1807,8634,1996
Detroit Pistons,82,19730,3120,6558,.476,448,1235,.363,2672,5323,.502,1963,2720,.722,1147,2432,3579,2013,693,439,1286,1746,8651,1996
Los Angeles Clippers,82,19880,3207,6470,.496,388,1049,.370,2819,5421,.520,1876,2503,.750,1083,2536,3619,1917,693,459,1506,1905,8678,1996
Dallas Mavericks,82,19930,3407,6982,.488,432,1181,.366,2975,5801,.513,1454,1981,.734,1053,2379,3432,1991,722,502,1250,1925,8700,1996
Washington Bullets,82,19855,3246,6768,.480,438,1145,.383,2808,5623,.499,1771,2315,.765,1107,2521,3628,1959,701,446,1359,1775,8701,1996
Phoenix Suns*,82,19830,3320,6963,.477,525,1544,.340,2795,5419,.516,1590,2138,.744,1038,2431,3469,2149,658,391,1285,2026,8755,1996
Golden State Warriors,82,19905,3527,7233,.488,492,1384,.355,3035,5849,.519,1565,2175,.720,1196,2527,3723,2345,865,412,1326,2133,9111,1996
League Average,82,19837,3115,6682,.466,450,1255,.359,2665,5427,.491,1635,2220,.737,1070,2338,3408,1916,679,423,1308,1924,8315,1996
Cleveland Cavaliers*,82,19830,2674,5787,.462,513,1322,.388,2161,4465,.484,1400,1844,.759,874,2167,3041,1818,504,336,1282,1667,7261,1997
Detroit Pistons*,82,19830,2827,6375,.443,505,1380,.366,2322,4995,.465,1458,2039,.715,964,2268,3232,1729,556,385,1153,1887,7617,1997
Chicago Bulls*,82,19730,2880,6428,.448,437,1249,.350,2443,5179,.472,1424,1985,.717,981,2136,3117,1592,595,312,1405,1856,7621,1997
New York Knicks*,82,19830,2859,6471,.442,442,1311,.337,2417,5160,.468,1621,2191,.740,995,2425,3420,1671,653,281,1293,1762,7781,1997
Miami Heat*,82,19780,2734,6303,.434,446,1237,.361,2288,5066,.452,1878,2498,.752,982,2315,3297,1645,662,403,1288,2031,7792,1997
Utah Jazz*,82,19780,2747,6174,.445,550,1428,.385,2197,4746,.463,1820,2422,.751,936,2149,3085,1640,584,409,1284,1983,7864,1997
Indiana Pacers*,82,19755,2841,6291,.452,493,1368,.360,2348,4923,.477,1703,2302,.740,1004,2051,3055,1726,663,420,1259,2041,7878,1997
Seattle SuperSonics*,82,19880,2873,6553,.438,533,1531,.348,2340,5022,.466,1654,2309,.716,1074,2255,3329,1776,758,391,1517,2010,7933,1997
Portland Trail Blazers*,82,19905,2953,6677,.442,472,1355,.348,2481,5322,.466,1574,2127,.740,932,2316,3248,1817,708,409,1192,1996,7952,1997
Atlanta Hawks*,82,19730,3044,6419,.474,479,1329,.360,2565,5090,.504,1392,1865,.746,1054,2292,3346,1841,580,338,1405,1807,7959,1997
San Antonio Spurs*,82,19780,3017,6866,.439,441,1337,.330,2576,5529,.466,1485,2034,.730,1109,2473,3582,1849,604,428,1257,1972,7960,1997
New Jersey Nets,82,19905,3006,6625,.454,543,1415,.384,2463,5210,.473,1476,1994,.740,1028,2355,3383,1876,665,516,1270,1925,8031,1997
Los Angeles Lakers*,82,19680,3118,6806,.458,442,1203,.367,2676,5603,.478,1395,1891,.738,1146,2316,3462,2006,588,483,1334,1806,8073,1997
Orlando Magic*,82,19855,3060,6736,.454,496,1357,.366,2564,5379,.477,1499,2037,.736,1087,2365,3452,1869,644,324,1238,1827,8115,1997
Vancouver Grizzlies,82,19880,3080,6486,.475,459,1226,.374,2621,5260,.498,1561,2129,.733,1102,2550,3652,1988,698,474,1423,1785,8180,1997
Denver Nuggets,82,19830,3091,6741,.459,453,1235,.367,2638,5506,.479,1600,2105,.760,934,2385,3319,1875,617,418,1130,1899,8235,1997
Houston Rockets*,82,19805,3178,6910,.460,482,1344,.359,2696,5566,.484,1423,2012,.707,1126,2499,3625,1945,670,400,1224,1847,8261,1997
Milwaukee Bucks,82,19730,3084,6421,.480,514,1296,.397,2570,5125,.501,1590,2193,.725,998,2305,3303,1940,648,373,1212,1752,8272,1997
Washington Bullets,82,19805,3061,6650,.460,377,1103,.342,2684,5547,.484,1822,2378,.766,1105,2370,3475,1690,696,390,1362,1891,8321,1997
Sacramento Kings*,82,19755,2987,6461,.462,461,1215,.379,2526,5246,.482,1950,2596,.751,1056,2312,3368,1805,767,505,1356,2006,8385,1997
Los Angeles Clippers,82,19730,3090,6471,.478,444,1195,.372,2646,5276,.502,1824,2444,.746,1034,2362,3396,1658,689,401,1357,1860,8448,1997
Golden State Warriors,82,19755,3206,6753,.475,477,1308,.365,2729,5445,.501,1564,2097,.746,1114,2292,3406,2098,698,385,1375,1959,8453,1997
Minnesota Timberwolves,82,19780,3086,6586,.469,530,1393,.380,2556,5193,.492,1761,2368,.744,1036,2317,3353,1966,725,498,1343,1940,8463,1997
Charlotte Hornets,82,19880,3254,6651,.489,530,1340,.396,2724,5311,.513,1440,1957,.736,953,2358,3311,2049,536,368,1215,1829,8478,1997
Phoenix Suns*,82,19955,3217,6837,.471,551,1492,.369,2666,5345,.499,1540,2083,.739,1003,2382,3385,2088,586,420,1191,2011,8525,1997
Philadelphia 76ers,82,19730,3284,6796,.483,526,1421,.370,2758,5375,.513,1472,1986,.741,1164,2478,3642,2109,723,469,1288,1912,8566,1997
Toronto Raptors,82,19830,3146,6624,.475,519,1416,.367,2627,5208,.504,1799,2416,.745,1098,2274,3372,1990,766,482,1326,1739,8610,1997
Boston Celtics,82,19905,3296,6856,.481,415,1162,.357,2881,5694,.506,1767,2366,.747,1040,2590,3630,1916,667,489,1314,1965,8774,1997
Dallas Mavericks,82,19930,3403,6921,.492,470,1193,.394,2933,5728,.512,1535,2097,.732,1087,2726,3813,1978,702,531,1348,1841,8811,1997
League Average,82,19813,3038,6575,.462,483,1316,.367,2555,5259,.486,1601,2164,.740,1035,2348,3383,1860,654,415,1298,1890,8159,1997
Cleveland Cavaliers,82,19855,2488,5638,.441,459,1230,.373,2029,4408,.460,1587,2138,.742,845,2186,3031,1647,549,350,1331,1748,7022,1998
Detroit Pistons*,82,19830,2768,6231,.444,528,1430,.369,2240,4801,.467,1229,1668,.737,964,2264,3228,1795,488,282,1195,1784,7293,1998
Miami Heat*,82,19805,2687,6226,.432,411,1134,.362,2276,5092,.447,1541,2108,.731,999,2321,3320,1512,646,392,1324,1831,7326,1998
Atlanta Hawks*,82,19805,2804,6451,.435,485,1399,.347,2319,5052,.459,1235,1676,.737,1045,2225,3270,1665,605,332,1267,1747,7328,1998
New York Knicks*,82,19855,2665,6272,.425,481,1374,.350,2184,4898,.446,1752,2389,.733,911,2220,3131,1589,727,295,1333,1882,7563,1998
Chicago Bulls*,82,19730,2898,6653,.436,471,1408,.335,2427,5245,.463,1305,1770,.737,1088,2205,3293,1619,624,286,1293,1732,7572,1998
Seattle SuperSonics*,82,19780,2759,6259,.441,613,1644,.373,2146,4615,.465,1513,2042,.741,1015,2256,3271,1751,634,423,1535,1927,7644,1998
Utah Jazz*,82,19830,2708,6188,.438,521,1480,.352,2187,4708,.465,1796,2395,.750,957,2101,3058,1593,639,373,1330,2045,7733,1998
