Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
New York Knicks*,82,19780,37.3,85.3,.437,5.3,15.5,.341,32.0,69.8,.458,24.0,32.6,.736,13.6,30.8,44.4,21.1,8.5,4.3,16.8,25.4,103.8,1996
Chicago Bulls*,82,19830,38.4,84.2,.457,5.3,15.1,.349,33.2,69.0,.480,22.1,30.0,.738,14.0,29.6,43.7,22.5,9.0,4.9,19.5,24.9,104.3,1996
Cleveland Cavaliers*,82,19930,39.8,86.4,.461,5.6,15.7,.357,34.2,70.6,.484,19.4,25.6,.757,12.1,31.9,44.0,25.7,7.9,6.1,17.2,25.1,104.6,1996
Atlanta Hawks*,82,19855,40.4,87.3,.463,5.7,16.3,.347,34.7,70.9,.489,18.8,25.8,.726,14.1,32.2,46.3,23.3,8.2,4.3,18.3,24.4,105.2,1996
San Antonio Spurs*,82,19855,40.5,89.1,.454,5.4,16.0,.341,35.0,73.1,.479,19.1,26.7,.714,13.0,29.4,42.4,24.0,8.1,5.2,15.1,26.4,105.4,1996
Indiana Pacers*,82,19780,39.4,86.4,.456,6.4,17.6,.364,33.0,68.8,.479,20.4,28.2,.726,14.1,29.1,43.2,24.3,9.3,5.6,18.5,27.7,105.6,1996
Utah Jazz*,82,19780,37.3,82.3,.453,7.2,18.7,.382,30.1,63.5,.474,24.0,32.4,.741,12.0,27.8,39.8,22.4,8.5,5.6,17.7,26.9,105.7,1996
Portland Trail Blazers*,82,19705,38.3,83.9,.456,5.7,15.4,.372,32.6,68.5,.476,23.3,30.9,.754,11.5,29.8,41.3,23.2,8.3,5.3,16.9,25.2,105.7,1996
Charlotte Hornets*,82,19805,41.0,90.5,.454,5.7,17.1,.333,35.3,73.3,.482,18.3,24.7,.740,14.6,31.4,46.1,25.2,7.1,4.9,16.2,24.7,106.1,1996
Seattle SuperSonics*,82,19830,38.1,84.1,.453,6.6,19.2,.343,31.5,64.9,.486,23.4,31.9,.735,13.5,28.0,41.5,23.4,8.3,6.2,18.8,25.7,106.3,1996
Sacramento Kings,82,19855,38.8,85.7,.453,4.9,16.2,.304,33.9,69.5,.487,24.0,32.4,.741,15.0,29.7,44.7,23.8,9.9,6.7,17.6,26.6,106.5,1996
Houston Rockets*,82,19730,41.4,91.2,.453,6.5,17.4,.376,34.8,73.8,.472,18.2,24.2,.751,15.1,30.8,45.9,25.1,9.6,4.7,16.5,23.0,107.4,1996
Orlando Magic*,82,19930,41.0,89.8,.457,5.9,15.7,.378,35.1,74.1,.474,19.8,26.7,.741,14.4,28.2,42.6,25.1,8.9,4.6,15.6,24.7,107.8,1996
Denver Nuggets*,82,19980,40.1,87.9,.456,5.5,15.9,.347,34.6,72.1,.479,22.6,30.2,.750,13.4,29.0,42.4,23.4,8.4,6.0,15.3,25.7,108.2,1996
New Jersey Nets,82,19880,41.6,90.3,.461,5.8,15.4,.374,35.9,74.9,.479,19.6,27.1,.721,13.8,31.9,45.7,23.9,9.6,5.8,14.4,25.0,108.6,1996
Los Angeles Lakers*,82,19905,41.8,89.3,.468,5.8,16.4,.352,36.0,72.9,.494,20.0,28.3,.708,16.3,31.3,47.6,27.9,8.2,6.2,17.6,22.9,109.4,1996
Philadelphia 76ers,82,19805,41.3,88.7,.465,6.2,17.1,.363,35.1,71.6,.490,20.9,27.4,.763,15.2,30.8,46.1,26.5,9.5,5.6,17.3,24.8,109.7,1996
Miami Heat,82,19805,40.3,85.6,.471,6.7,18.5,.361,33.7,67.2,.501,22.6,30.5,.740,13.5,30.7,44.2,24.3,8.6,5.0,17.4,24.7,109.9,1996
Phoenix Suns*,82,19830,41.9,87.8,.477,6.6,19.5,.340,35.3,68.4,.516,20.1,27.0,.744,13.1,30.7,43.8,27.1,8.3,4.9,16.2,25.6,110.4,1996
Boston Celtics*,82,19805,42.6,87.9,.484,4.8,13.5,.358,37.7,74.4,.507,20.6,28.7,.720,13.7,30.1,43.8,25.8,8.4,5.9,15.9,24.8,110.6,1996
Dallas Mavericks,82,19930,43.3,88.8,.488,5.5,15.0,.366,37.8,73.8,.513,18.5,25.2,.734,13.4,30.3,43.6,25.3,9.2,6.4,15.9,24.5,110.6,1996
Milwaukee Bucks,82,19855,42.4,85.9,.493,6.4,16.2,.395,35.9,69.7,.516,19.8,27.1,.729,13.2,30.5,43.7,27.4,10.0,5.3,17.7,25.7,110.9,1996
Los Angeles Clippers,82,19880,41.1,82.8,.496,5.0,13.4,.370,36.1,69.4,.520,24.0,32.0,.750,13.9,32.5,46.3,24.5,8.9,5.9,19.3,24.4,111.1,1996
Washington Bullets,82,19855,41.5,86.6,.480,5.6,14.6,.383,35.9,71.9,.499,22.7,29.6,.765,14.2,32.2,46.4,25.1,9.0,5.7,17.4,22.7,111.3,1996
Golden State Warriors,82,19905,43.4,89.1,.488,6.1,17.0,.355,37.4,72.0,.519,19.3,26.8,.720,14.7,31.1,45.8,28.9,10.7,5.1,16.3,26.3,112.2,1996
Minnesota Timberwolves,82,19780,41.0,86.4,.474,6.2,16.5,.377,34.8,69.9,.498,24.2,33.1,.731,15.5,30.6,46.1,27.5,9.3,6.8,17.6,26.3,112.4,1996
