Rk,Team,G,MP,FG%,Dist.,per_FGA_2P,per_FGA_0-3,per_FGA_3-10,per_FGA_10-16,per_FGA_16-3P,per_FGA_3P,FGA%_2P,FGA%_0-3,FGA%_3-10,FGA%_10-16,FGA%_16-3P,FGA%_3P,FG_astd_2P,FG_astd_3P,dunk_%FGA,dunk_Md.,corner_%3PA,corner_3P%,heaves_Att.,heaves_Md.,Year
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,Md.,%3PA,3P%,Att.,Md.,2000
1,Atlanta Hawks,82,19830,.441,12.6,.880,.230,.195,.228,.228,.120,.458,.637,.378,.361,.442,.317,.489,.806,.038,236,.128,.452,11,1,2000
2,Boston Celtics,82,19730,.444,11.9,.817,.263,.226,.138,.190,.183,.469,.575,.415,.393,.442,.331,.515,.916,.029,188,.252,.349,4,0,2000
3,Charlotte Hornets*,82,19780,.449,12.7,.847,.273,.171,.190,.212,.153,.469,.632,.387,.356,.429,.339,.661,.909,.056,340,.179,.335,4,0,2000
4,Chicago Bulls,82,19805,.415,13.1,.833,.281,.182,.145,.225,.167,.432,.565,.368,.337,.380,.329,.603,.868,.040,220,.154,.308,6,0,2000
5,Cleveland Cavaliers,82,19855,.442,11.6,.864,.303,.164,.161,.235,.136,.453,.591,.350,.350,.417,.373,.622,.878,.047,291,.205,.410,5,0,2000
6,Dallas Mavericks,82,19730,.453,13.4,.812,.214,.184,.184,.229,.188,.468,.643,.362,.386,.455,.391,.503,.894,.026,175,.267,.449,8,1,2000
7,Denver Nuggets,82,19855,.442,13.1,.798,.273,.175,.154,.197,.202,.469,.653,.369,.351,.395,.336,.596,.785,.065,404,.263,.353,10,1,2000
8,Detroit Pistons*,82,19830,.459,13.4,.816,.316,.112,.139,.248,.184,.481,.609,.378,.359,.434,.359,.500,.920,.057,348,.238,.402,7,0,2000
9,Golden State Warriors,82,19755,.420,12.3,.850,.233,.245,.143,.229,.150,.437,.633,.355,.307,.404,.323,.595,.791,.039,249,.203,.373,5,0,2000
10,Houston Rockets,82,19830,.450,13.1,.756,.323,.161,.105,.167,.244,.480,.649,.345,.300,.397,.358,.540,.806,.074,439,.212,.377,10,0,2000
11,Indiana Pacers*,82,19730,.459,13.2,.776,.187,.230,.151,.209,.224,.478,.652,.430,.375,.451,.392,.539,.909,.033,207,.278,.440,2,0,2000
12,Los Angeles Clippers,82,19705,.426,13.0,.812,.240,.221,.175,.177,.188,.446,.622,.381,.351,.381,.339,.471,.762,.052,313,.155,.337,10,0,2000
13,Los Angeles Lakers*,82,19805,.459,12.2,.847,.269,.235,.140,.202,.153,.482,.682,.387,.351,.419,.329,.582,.858,.065,415,.195,.309,6,0,2000
14,Miami Heat*,82,19830,.460,13.4,.814,.230,.172,.175,.236,.186,.481,.680,.406,.389,.409,.371,.612,.861,.059,361,.267,.445,7,0,2000
15,Milwaukee Bucks*,82,19855,.465,13.2,.843,.205,.159,.275,.204,.157,.483,.629,.414,.427,.465,.369,.540,.888,.047,288,.312,.404,20,0,2000
16,Minnesota Timberwolves*,82,19905,.467,13.5,.896,.203,.170,.166,.357,.104,.481,.638,.431,.384,.460,.346,.669,.859,.035,222,.264,.365,11,0,2000
17,New Jersey Nets,82,19830,.433,14.2,.800,.269,.141,.105,.285,.200,.454,.603,.343,.333,.413,.347,.505,.891,.037,238,.194,.352,8,0,2000
18,New York Knicks*,82,19830,.455,12.6,.853,.249,.199,.215,.190,.147,.468,.608,.342,.418,.474,.375,.502,.886,.029,172,.287,.379,18,2,2000
19,Orlando Magic,82,19755,.452,12.6,.876,.287,.167,.138,.284,.124,.468,.613,.359,.368,.433,.338,.519,.735,.054,327,.166,.354,10,1,2000
20,Philadelphia 76ers*,82,19830,.442,11.1,.905,.273,.222,.210,.200,.095,.454,.704,.294,.321,.429,.323,.587,.880,.037,239,.190,.459,6,0,2000
21,Phoenix Suns*,82,19805,.457,12.8,.816,.287,.172,.143,.214,.184,.477,.635,.380,.364,.418,.368,.632,.943,.049,306,.224,.394,6,0,2000
22,Portland Trail Blazers*,82,19780,.470,13.1,.825,.287,.176,.116,.246,.175,.493,.637,.405,.391,.436,.361,.604,.848,.060,340,.239,.385,13,0,2000
23,Sacramento Kings*,82,19805,.450,13.1,.773,.242,.226,.105,.200,.227,.487,.661,.411,.377,.419,.322,.576,.699,.047,316,.162,.351,21,0,2000
24,San Antonio Spurs*,82,19855,.462,11.7,.862,.268,.208,.170,.215,.138,.476,.633,.391,.388,.431,.374,.588,.839,.054,312,.355,.383,9,0,2000
25,Seattle SuperSonics*,82,19780,.447,13.3,.768,.234,.201,.103,.229,.232,.480,.695,.397,.313,.409,.339,.558,.821,.039,255,.211,.350,5,0,2000
26,Toronto Raptors*,82,19755,.433,14.0,.830,.220,.145,.170,.295,.170,.447,.604,.352,.353,.432,.363,.617,.873,.058,364,.302,.393,11,0,2000
27,Utah Jazz*,82,19755,.464,13.1,.866,.275,.148,.153,.290,.134,.476,.618,.364,.366,.458,.385,.671,.836,.032,195,.189,.422,5,1,2000
28,Vancouver Grizzlies,82,19855,.449,11.7,.861,.252,.224,.159,.225,.139,.463,.638,.401,.355,.406,.361,.548,.907,.045,265,.310,.388,4,0,2000
29,Washington Wizards,82,19805,.451,11.7,.867,.250,.212,.206,.200,.133,.462,.620,.375,.375,.445,.376,.558,.833,.048,300,.204,.462,1,0,2000
,League Average,82,19801,.449,12.8,.833,.256,.188,.161,.228,.167,.468,.633,.379,.365,.428,.353,.569,.851,.047,287,.228,.386,8.4,0.2,2000
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,Md.,%3PA,3P%,Att.,Md.,2001
1,Atlanta Hawks,82,19730,.431,11.4,.860,.258,.190,.214,.198,.140,.443,.612,.320,.387,.403,.357,.507,.811,.037,224,.228,.371,10,1,2001
2,Boston Celtics,82,19830,.428,12.5,.748,.287,.161,.121,.180,.252,.450,.571,.344,.385,.393,.363,.532,.926,.019,104,.261,.390,12,0,2001
3,Charlotte Hornets*,82,19880,.431,12.2,.849,.270,.134,.180,.265,.151,.446,.595,.386,.363,.381,.346,.650,.885,.038,204,.178,.406,9,1,2001
4,Chicago Bulls,82,19855,.424,12.0,.852,.275,.151,.175,.251,.148,.438,.569,.360,.390,.375,.346,.634,.894,.033,176,.132,.360,5,0,2001
5,Cleveland Cavaliers,82,19830,.442,10.9,.899,.280,.201,.190,.228,.101,.455,.622,.335,.410,.392,.334,.564,.914,.034,197,.338,.359,22,1,2001
6,Dallas Mavericks*,82,19805,.459,12.3,.798,.257,.165,.166,.210,.202,.479,.656,.347,.413,.419,.381,.513,.816,.031,192,.234,.355,14,0,2001
7,Denver Nuggets,82,19780,.433,12.3,.790,.295,.137,.138,.221,.210,.454,.615,.357,.366,.354,.355,.620,.861,.048,288,.295,.380,5,0,2001
8,Detroit Pistons,82,19855,.424,12.2,.838,.295,.109,.150,.284,.162,.439,.571,.319,.350,.394,.350,.513,.848,.036,226,.277,.377,5,0,2001
9,Golden State Warriors,82,19780,.409,11.5,.866,.240,.226,.159,.241,.134,.427,.653,.313,.336,.371,.293,.588,.809,.024,149,.197,.337,8,1,2001
10,Houston Rockets,82,19830,.453,12.2,.783,.306,.141,.133,.204,.217,.480,.636,.356,.398,.385,.357,.498,.792,.040,233,.254,.391,15,2,2001
11,Indiana Pacers*,82,19980,.440,12.6,.820,.221,.201,.157,.241,.180,.461,.621,.374,.423,.412,.342,.580,.889,.037,222,.329,.367,7,0,2001
12,Los Angeles Clippers,82,20030,.448,11.3,.836,.273,.226,.152,.184,.164,.469,.637,.410,.353,.391,.339,.505,.847,.043,242,.155,.364,4,0,2001
13,Los Angeles Lakers*,82,19905,.465,11.9,.809,.285,.186,.137,.201,.191,.494,.671,.382,.402,.407,.344,.565,.866,.055,350,.170,.378,12,0,2001
14,Miami Heat*,82,19880,.430,13.0,.779,.250,.149,.146,.233,.221,.455,.582,.376,.389,.409,.345,.560,.812,.029,152,.210,.379,14,0,2001
15,Milwaukee Bucks*,82,19780,.458,13.2,.782,.224,.121,.258,.179,.218,.480,.596,.413,.454,.415,.379,.529,.879,.033,200,.274,.411,15,3,2001
16,Minnesota Timberwolves*,82,19830,.458,12.5,.869,.236,.164,.155,.315,.131,.473,.628,.387,.403,.438,.357,.637,.882,.028,177,.262,.398,9,0,2001
17,New Jersey Nets,82,19730,.425,11.6,.835,.322,.137,.132,.243,.165,.443,.579,.366,.315,.374,.333,.543,.798,.039,219,.199,.333,11,1,2001
18,New York Knicks*,82,19905,.444,11.9,.820,.270,.163,.184,.203,.180,.465,.594,.395,.388,.420,.351,.506,.826,.022,117,.227,.415,9,0,2001
19,Orlando Magic*,82,19955,.438,12.6,.804,.290,.117,.137,.260,.196,.456,.584,.368,.361,.404,.364,.548,.859,.033,210,.159,.388,14,0,2001
20,Philadelphia 76ers*,82,19855,.447,10.8,.876,.276,.206,.211,.184,.124,.464,.710,.289,.358,.414,.326,.554,.878,.027,163,.234,.388,8,0,2001
21,Phoenix Suns*,82,19805,.436,11.9,.844,.262,.172,.164,.246,.156,.458,.610,.352,.387,.418,.315,.615,.898,.039,229,.284,.311,13,0,2001
22,Portland Trail Blazers*,82,19780,.468,11.9,.835,.299,.153,.129,.254,.165,.492,.635,.391,.409,.425,.349,.629,.829,.049,293,.218,.343,8,0,2001
23,Sacramento Kings*,82,20080,.449,11.8,.806,.295,.185,.097,.230,.194,.472,.644,.363,.384,.377,.354,.554,.797,.035,224,.250,.364,20,2,2001
24,San Antonio Spurs*,82,19830,.461,11.9,.825,.260,.183,.178,.205,.175,.472,.652,.359,.400,.406,.407,.569,.876,.053,304,.345,.485,12,1,2001
25,Seattle SuperSonics,82,19805,.456,10.7,.824,.305,.226,.129,.164,.176,.468,.643,.356,.363,.377,.399,.538,.886,.036,223,.237,.401,9,0,2001
26,Toronto Raptors*,82,19955,.437,12.8,.833,.264,.124,.145,.300,.167,.451,.602,.350,.373,.397,.369,.630,.828,.032,202,.223,.396,15,0,2001
27,Utah Jazz*,82,19780,.471,10.9,.865,.348,.134,.124,.259,.135,.485,.625,.369,.382,.404,.381,.693,.874,.037,206,.271,.446,7,0,2001
28,Vancouver Grizzlies,82,19780,.439,12.9,.855,.217,.184,.130,.323,.145,.455,.630,.359,.375,.424,.343,.635,.874,.039,231,.267,.316,3,0,2001
29,Washington Wizards,82,19680,.439,11.3,.869,.249,.219,.199,.202,.131,.456,.625,.356,.397,.415,.324,.563,.753,.030,177,.216,.361,3,0,2001
,League Average,82,19840,.443,12.0,.830,.273,.168,.158,.232,.170,.461,.619,.359,.385,.400,.354,.572,.852,.036,212,.239,.381,10.3,0.4,2001
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,Md.,%3PA,3P%,Att.,Md.,2002
1,Atlanta Hawks,82,19780,.439,11.1,.819,.328,.153,.146,.193,.181,.458,.583,.349,.363,.400,.354,.525,.839,.054,313,.255,.354,5,0,2002
2,Boston Celtics*,82,19830,.424,13.3,.711,.293,.124,.111,.182,.289,.450,.581,.324,.351,.385,.359,.512,.886,.032,204,.213,.330,15,2,2002
3,Charlotte Hornets*,82,19755,.440,11.6,.849,.308,.131,.162,.248,.151,.456,.577,.402,.363,.395,.348,.580,.812,.049,292,.153,.408,8,0,2002
4,Chicago Bulls,82,19805,.433,12.0,.866,.295,.111,.161,.299,.134,.447,.562,.343,.405,.393,.346,.617,.890,.050,293,.189,.305,7,0,2002
5,Cleveland Cavaliers,82,19855,.448,12.4,.844,.255,.141,.206,.242,.156,.461,.580,.391,.425,.407,.377,.601,.910,.046,266,.238,.430,20,1,2002
6,Dallas Mavericks*,82,19880,.462,12.8,.763,.281,.121,.146,.214,.237,.488,.607,.404,.411,.431,.378,.510,.799,.037,232,.160,.436,9,0,2002
7,Denver Nuggets,82,19805,.424,12.0,.813,.300,.147,.121,.245,.187,.446,.583,.360,.397,.355,.329,.586,.842,.038,228,.306,.344,17,0,2002
8,Detroit Pistons*,82,19680,.452,12.7,.760,.283,.124,.146,.207,.240,.475,.613,.420,.356,.404,.376,.555,.884,.048,270,.306,.398,6,1,2002
9,Golden State Warriors,82,19780,.429,10.6,.858,.297,.235,.111,.215,.142,.447,.640,.326,.372,.351,.322,.532,.881,.040,254,.193,.359,15,1,2002
10,Houston Rockets,82,19980,.428,13.0,.777,.295,.108,.103,.271,.223,.455,.587,.348,.355,.391,.335,.457,.829,.052,298,.241,.350,15,0,2002
