,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%, ,eFG%,TOV%,ORB%,FT/FGA, .1,eFG%.1,TOV%.1,DRB%,FT/FGA.1, .2,Arena,Attend.,Attend./G,Year
0,Utah Jazz*,29.6,60.0,22.0,61,21,7.99,-0.23,7.76,114.3,105.7,8.6,92.6,0.392,0.126,0.587,,0.535,14.8,29.1,0.306,,0.496,15.5,72.5,0.292,,Delta Center,"811,159","19,784",1995
1,Seattle SuperSonics*,28.7,57.0,25.0,61,21,8.18,-0.27,7.91,114.8,106.3,8.5,95.5,0.38,0.194,0.575,,0.527,14.1,32.6,0.288,,0.492,16.1,68.7,0.278,,Tacoma Dome,"633,604","15,454",1995
2,Orlando Magic*,26.6,57.0,25.0,59,23,7.06,-0.62,6.44,115.1,107.8,7.3,95.1,0.357,0.205,0.569,,0.539,14.0,34.0,0.239,,0.49,13.3,68.4,0.22,,Orlando Arena,"656,410","16,010",1995
3,San Antonio Spurs*,29.0,62.0,20.0,57,25,5.96,-0.06,5.9,111.7,105.4,6.3,94.6,0.372,0.173,0.562,,0.516,13.8,30.9,0.275,,0.485,13.0,72.3,0.214,,Alamodome,"920,413","22,449",1995
4,Chicago Bulls*,28.1,47.0,35.0,54,28,4.83,-0.51,4.32,109.5,104.3,5.2,92.0,0.308,0.177,0.546,,0.509,14.5,32.9,0.224,,0.488,16.7,68.2,0.263,,United Center,"926,218","22,591",1995
5,Phoenix Suns*,29.2,59.0,23.0,51,31,3.88,-0.02,3.86,114.5,110.4,4.1,95.9,0.338,0.227,0.567,,0.524,12.7,29.7,0.255,,0.515,14.0,69.8,0.228,,America West Arena,"779,943","19,023",1995
6,Portland Trail Blazers*,29.3,44.0,38.0,52,30,3.82,-0.02,3.8,109.7,105.7,4.0,93.8,0.313,0.177,0.521,,0.483,13.0,37.1,0.218,,0.491,14.8,73.5,0.277,,Memorial Coliseum,"529,759","12,888",1995
7,Indiana Pacers*,28.7,52.0,30.0,52,30,3.7,-0.34,3.35,109.6,105.6,4.0,90.0,0.383,0.158,0.557,,0.507,15.5,32.8,0.287,,0.493,15.8,68.6,0.237,,Market Square Arena,"654,428","15,962",1995
8,Charlotte Hornets*,28.0,50.0,32.0,50,32,3.28,-0.41,2.87,109.6,106.1,3.5,91.2,0.317,0.219,0.562,,0.517,14.3,26.0,0.247,,0.485,13.8,68.5,0.202,,Charlotte Coliseum,"971,618","23,698",1995
9,New York Knicks*,29.4,55.0,27.0,50,32,3.11,-0.33,2.78,107.2,103.8,3.4,91.2,0.331,0.226,0.55,,0.508,15.1,28.6,0.243,,0.468,14.4,70.8,0.281,,Madison Square Garden (IV),"810,283","19,763",1995
10,Houston Rockets*,28.5,47.0,35.0,47,35,2.12,0.2,2.32,109.7,107.4,2.3,94.2,0.31,0.267,0.568,,0.529,15.0,26.9,0.232,,0.489,13.9,67.7,0.199,,The Summit,"653,389","15,936",1995
11,Atlanta Hawks*,28.2,42.0,40.0,45,37,1.28,-0.22,1.06,106.6,105.2,1.4,89.8,0.292,0.237,0.525,,0.487,13.9,31.6,0.211,,0.495,15.6,68.4,0.215,,Omni Coliseum,"504,807","12,312",1995
12,Denver Nuggets*,26.6,41.0,41.0,43,39,0.84,0.11,0.96,109.1,108.2,0.9,91.5,0.357,0.18,0.556,,0.511,15.6,32.0,0.263,,0.487,13.2,70.2,0.257,,McNichols Sports Arena,"704,011","17,171",1995
13,Cleveland Cavaliers*,28.3,43.0,39.0,43,39,0.62,-0.07,0.55,105.3,104.6,0.7,84.8,0.317,0.165,0.52,,0.472,14.2,31.8,0.241,,0.493,15.0,72.4,0.224,,Gund Arena,"833,850","20,338",1995
14,Los Angeles Lakers*,25.9,48.0,34.0,40,42,-0.22,0.21,-0.01,109.1,109.4,-0.3,95.2,0.292,0.21,0.539,,0.5,13.4,31.3,0.215,,0.5,14.8,64.4,0.224,,Great Western Forum,"591,125","14,418",1995
15,Sacramento Kings,26.4,39.0,43.0,38,44,-1.0,0.26,-0.74,105.5,106.5,-1.0,92.3,0.359,0.16,0.538,,0.496,16.2,32.1,0.255,,0.481,15.0,67.0,0.28,,ARCO Arena (II),"709,997","17,317",1995
16,Miami Heat,27.1,32.0,50.0,36,46,-1.63,-0.21,-1.85,108.2,109.9,-1.7,92.9,0.317,0.175,0.54,,0.499,14.4,31.7,0.233,,0.51,14.9,68.7,0.264,,Miami Arena,"598,761","14,604",1995
17,Boston Celtics*,27.2,35.0,47.0,36,46,-1.88,-0.04,-1.92,108.6,110.6,-2.0,94.0,0.331,0.144,0.537,,0.491,14.3,33.1,0.249,,0.512,13.6,68.6,0.235,,Boston Garden,"606,070","14,869",1995
18,Dallas Mavericks,24.3,36.0,46.0,33,49,-2.9,0.51,-2.39,107.6,110.6,-3.0,94.7,0.301,0.163,0.509,,0.466,13.9,38.9,0.221,,0.519,13.7,69.8,0.208,,Reunion Arena,"678,433","16,547",1995
19,New Jersey Nets,27.5,30.0,52.0,32,50,-3.13,-0.14,-3.28,105.2,108.6,-3.4,92.3,0.342,0.192,0.519,,0.467,14.4,33.3,0.26,,0.493,12.4,70.9,0.217,,Brendan Byrne Arena,"684,102","16,685",1995
20,Milwaukee Bucks,25.7,34.0,48.0,29,53,-4.37,0.07,-4.3,106.2,110.9,-4.7,92.7,0.343,0.205,0.537,,0.496,15.5,31.3,0.244,,0.53,15.3,68.3,0.23,,Bradley Center,"670,720","16,359",1995
21,Golden State Warriors,26.0,26.0,56.0,27,55,-5.41,0.51,-4.9,106.7,112.2,-5.5,97.9,0.348,0.233,0.547,,0.508,15.9,30.3,0.245,,0.522,13.9,66.5,0.216,,Oakland-Alameda County Coliseum Arena,"616,025","15,025",1995
22,Philadelphia 76ers,25.1,24.0,58.0,27,55,-5.07,0.01,-5.06,104.1,109.7,-5.6,91.0,0.323,0.142,0.521,,0.475,15.3,32.3,0.238,,0.5,14.6,66.1,0.235,,CoreStates Spectrum,"507,806","12,386",1995
23,Washington Bullets,24.5,21.0,61.0,26,56,-5.6,0.04,-5.56,105.4,111.3,-5.9,94.5,0.292,0.183,0.529,,0.492,14.3,29.3,0.211,,0.512,14.9,66.7,0.262,,USAir Arena,"689,463","17,255",1995
24,Detroit Pistons,26.9,28.0,54.0,22,60,-7.29,0.21,-7.08,105.1,112.9,-7.8,93.2,0.293,0.21,0.538,,0.499,15.0,28.3,0.217,,0.51,14.2,65.8,0.299,,The Palace of Auburn Hills,"719,090","17,539",1995
25,Los Angeles Clippers,24.9,17.0,65.0,18,64,-9.16,0.73,-8.43,101.5,111.1,-9.6,94.3,0.302,0.153,0.508,,0.468,14.6,29.6,0.214,,0.526,16.6,65.7,0.29,,Los Angeles Memorial Sports Arena,"438,244","9,333",1995
26,Minnesota Timberwolves,25.4,21.0,61.0,18,64,-9.0,0.78,-8.22,102.6,112.4,-9.8,91.4,0.379,0.163,0.532,,0.475,16.2,27.7,0.293,,0.51,14.8,64.1,0.28,,Target Center,"603,518","14,720",1995
27,League Average,27.2,,,41,41,0.0,0.01,0.01,108.3,108.3,,92.9,0.332,0.188,0.543,,0.5,14.6,31.4,0.245,,0.5,14.6,68.6,0.245,,,"685,305","16,736",1995
28,Chicago Bulls*,29.9,72.0,10.0,70,12,12.24,-0.44,11.8,115.2,101.8,13.4,91.1,0.291,0.196,0.555,,0.517,13.1,36.9,0.217,,0.482,16.1,71.1,0.222,,United Center,"969,149","23,638",1996
29,Seattle SuperSonics*,29.6,64.0,18.0,61,21,7.79,-0.4,7.4,110.3,102.1,8.2,93.8,0.379,0.249,0.574,,0.526,16.2,29.7,0.288,,0.479,16.7,69.5,0.252,,KeyArena at Seattle Center,"697,301","17,007",1996
30,Utah Jazz*,29.5,55.0,27.0,59,23,6.59,-0.34,6.25,113.3,106.1,7.2,90.0,0.359,0.158,0.566,,0.517,14.1,31.6,0.276,,0.489,15.1,71.7,0.295,,Delta Center,"813,073","19,831",1996
31,San Antonio Spurs*,29.4,59.0,23.0,58,24,6.3,-0.33,5.98,110.2,103.5,6.7,93.3,0.342,0.2,0.558,,0.516,13.6,27.5,0.252,,0.472,13.9,70.0,0.216,,Alamodome,"782,701","19,791",1996
32,Orlando Magic*,27.7,60.0,22.0,56,26,5.56,-0.16,5.4,112.9,106.9,6.0,91.8,0.336,0.248,0.562,,0.529,13.2,29.0,0.232,,0.491,14.0,68.8,0.223,,Orlando Arena,"707,168","17,248",1996
33,Los Angeles Lakers*,27.1,53.0,29.0,53,29,4.45,-0.24,4.21,111.4,106.6,4.8,92.4,0.306,0.203,0.555,,0.515,13.3,30.1,0.228,,0.491,14.9,66.8,0.205,,Great Western Forum,"649,634","15,845",1996
34,Indiana Pacers*,29.4,52.0,30.0,50,32,3.24,-0.14,3.11,110.8,107.2,3.6,89.3,0.389,0.157,0.56,,0.509,15.5,33.0,0.294,,0.491,14.7,69.3,0.271,,Market Square Arena,"673,967","16,438",1996
35,Cleveland Cavaliers*,27.5,47.0,35.0,49,33,2.59,-0.09,2.49,109.9,106.7,3.2,82.3,0.296,0.264,0.551,,0.51,13.7,28.6,0.226,,0.506,16.3,70.2,0.242,,Gund Arena,"730,095","17,807",1996
36,Detroit Pistons*,26.8,46.0,36.0,49,33,2.5,-0.05,2.45,107.9,105.1,2.8,87.7,0.36,0.221,0.551,,0.504,14.6,28.0,0.271,,0.483,13.7,71.7,0.229,,The Palace of Auburn Hills,"730,573","17,819",1996
37,Portland Trail Blazers*,28.1,44.0,38.0,48,34,2.35,-0.14,2.21,106.0,103.5,2.5,92.6,0.347,0.203,0.528,,0.494,15.2,33.4,0.23,,0.478,13.5,73.4,0.236,,Rose Garden Arena,"848,055","20,684",1996
38,New York Knicks*,30.4,47.0,35.0,48,34,2.32,-0.08,2.24,106.0,103.5,2.5,91.0,0.306,0.201,0.55,,0.509,14.9,25.5,0.232,,0.476,14.8,71.1,0.251,,Madison Square Garden (IV),"810,283","19,763",1996
39,Houston Rockets*,29.0,48.0,34.0,46,36,1.74,-0.12,1.63,109.3,107.4,1.9,93.2,0.317,0.265,0.555,,0.512,14.1,26.9,0.243,,0.495,13.6,68.6,0.206,,The Summit,"667,840","16,293",1996
40,Miami Heat*,27.4,42.0,40.0,45,37,1.43,0.03,1.46,105.3,103.8,1.5,91.1,0.345,0.23,0.541,,0.501,16.0,30.1,0.245,,0.469,14.8,71.8,0.298,,Miami Arena,"606,088","14,783",1996
